"sales_person","country","product","sale_date","amount","boxes_shipped","amount_numeric","sale_date_actual"
"Dennison Crosswaite","USA","Milk Bars","12/05/2022","$777.00",60,777.0,"2022-05-12"
"Gunar Cockshoot","USA","Drinking Coco","09/05/2022","$3,843.00",5,3843.0,"2022-05-09"
"Brien Boise","Canada","Manuka Honey Choco","09/08/2022","$6,930.00",182,6930.0,"2022-08-09"
"Van Tuxwell","India","Choco Coated Almonds","13/04/2022","$5,733.00",114,5733.0,"2022-04-13"
"Andria Kimpton","USA","Caramel Stuffed Bars","02/05/2022","$8,393.00",46,8393.0,"2022-05-02"
"Dotty Strutley","USA","99% Dark & Pure","09/08/2022","$3,822.00",320,3822.0,"2022-08-09"
"Camilla Castle","Australia","Raspberry Choco","23/08/2022","$6,342.00",178,6342.0,"2022-08-23"
"Gunar Cockshoot","India","Spicy Special Slims","13/05/2022","$6,510.00",170,6510.0,"2022-05-13"
"Karlen McCaffrey","USA","Manuka Honey Choco","01/02/2022","$10,171.00",67,10171.0,"2022-02-01"
"Camilla Castle","USA","50% Dark Bites","23/06/2022","$5,908.00",301,5908.0,"2022-06-23"
"Madelene Upcott","UK","Choco Coated Almonds","24/05/2022","$10,164.00",134,10164.0,"2022-05-24"
"Jan Morforth","Canada","Mint Chip Choco","01/04/2022","$1,064.00",211,1064.0,"2022-04-01"
"Camilla Castle","Canada","70% Dark Bites","27/07/2022","$9,716.00",151,9716.0,"2022-07-27"
"Ches Bonnell","India","Peanut Butter Cubes","27/01/2022","$22,050.00",208,22050.0,"2022-01-27"
"Jan Morforth","India","Choco Coated Almonds","12/08/2022","$2,541.00",134,2541.0,"2022-08-12"
"Gigi Bohling","Canada","Almond Choco","01/02/2022","$9,989.00",49,9989.0,"2022-02-01"
"Rafaelita Blaksland","India","After Nines","02/03/2022","$4,739.00",204,4739.0,"2022-03-02"
"Kelci Walkden","Australia","99% Dark & Pure","30/06/2022","$3,185.00",34,3185.0,"2022-06-30"
"Dotty Strutley","Australia","Spicy Special Slims","17/01/2022","$8,225.00",91,8225.0,"2022-01-17"
"Brien Boise","USA","Milk Bars","07/07/2022","$14,301.00",130,14301.0,"2022-07-07"
"Mallorie Waber","New Zealand","Mint Chip Choco","31/01/2022","$1,316.00",107,1316.0,"2022-01-31"
"Beverie Moffet","UK","99% Dark & Pure","10/08/2022","$3,486.00",121,3486.0,"2022-08-10"
"Beverie Moffet","USA","Peanut Butter Cubes","18/08/2022","$13,930.00",339,13930.0,"2022-08-18"
"Brien Boise","New Zealand","White Choc","15/06/2022","$5,509.00",321,5509.0,"2022-06-15"
"Marney O'Breen","USA","Baker's Choco Chips","26/01/2022","$8,470.00",9,8470.0,"2022-01-26"
"Kelci Walkden","USA","Spicy Special Slims","29/04/2022","$77.00",69,77.0,"2022-04-29"
"Mallorie Waber","Canada","White Choc","03/03/2022","$3,381.00",72,3381.0,"2022-03-03"
"Kaine Padly","Australia","Almond Choco","22/02/2022","$4,102.00",392,4102.0,"2022-02-22"
"Oby Sorrel","USA","Smooth Sliky Salty","04/03/2022","$3,577.00",158,3577.0,"2022-03-04"
"Dennison Crosswaite","India","Smooth Sliky Salty","07/07/2022","$2,975.00",9,2975.0,"2022-07-07"
"Camilla Castle","New Zealand","Caramel Stuffed Bars","17/06/2022","$4,137.00",347,4137.0,"2022-06-17"
"Jan Morforth","Canada","Caramel Stuffed Bars","02/08/2022","$9,541.00",114,9541.0,"2022-08-02"
"Oby Sorrel","USA","Baker's Choco Chips","12/08/2022","$8,001.00",120,8001.0,"2022-08-12"
"Madelene Upcott","New Zealand","Peanut Butter Cubes","28/01/2022","$5,152.00",333,5152.0,"2022-01-28"
"Kelci Walkden","Australia","Orange Choco","29/04/2022","$11,116.00",432,11116.0,"2022-04-29"
"Marney O'Breen","Australia","Manuka Honey Choco","05/04/2022","$13,076.00",236,13076.0,"2022-04-05"
"Kaine Padly","Canada","Manuka Honey Choco","18/01/2022","$10,213.00",135,10213.0,"2022-01-18"
"Jehu Rudeforth","UK","Baker's Choco Chips","16/05/2022","$2,485.00",97,2485.0,"2022-05-16"
"Kelci Walkden","Australia","White Choc","24/08/2022","$8,715.00",168,8715.0,"2022-08-24"
"Curtice Advani","India","85% Dark Bars","18/01/2022","$273.00",402,273.0,"2022-01-18"
"Gunar Cockshoot","UK","99% Dark & Pure","07/03/2022","$7.00",84,7.0,"2022-03-07"
"Beverie Moffet","UK","Choco Coated Almonds","04/03/2022","$3,010.00",69,3010.0,"2022-03-04"
"Dotty Strutley","Canada","Manuka Honey Choco","22/04/2022","$11,550.00",111,11550.0,"2022-04-22"
"Kaine Padly","Australia","Milk Bars","09/06/2022","$4,046.00",89,4046.0,"2022-06-09"
"Jan Morforth","Canada","Fruit & Nut Bars","25/07/2022","$8,904.00",199,8904.0,"2022-07-25"
"Jan Morforth","India","Smooth Sliky Salty","03/08/2022","$11,298.00",89,11298.0,"2022-08-03"
"Rafaelita Blaksland","Australia","Manuka Honey Choco","03/08/2022","$4,396.00",131,4396.0,"2022-08-03"
"Jehu Rudeforth","UK","Milk Bars","03/05/2022","$12,068.00",227,12068.0,"2022-05-03"
"Husein Augar","Canada","After Nines","19/01/2022","$9,772.00",301,9772.0,"2022-01-19"
"Roddy Speechley","USA","50% Dark Bites","11/02/2022","$10,458.00",316,10458.0,"2022-02-11"
"Van Tuxwell","India","Almond Choco","14/06/2022","$6,426.00",390,6426.0,"2022-06-14"
"Kelci Walkden","USA","50% Dark Bites","23/03/2022","$6,188.00",223,6188.0,"2022-03-23"
"Madelene Upcott","Canada","85% Dark Bars","17/02/2022","$7,504.00",101,7504.0,"2022-02-17"
"Dennison Crosswaite","Canada","Smooth Sliky Salty","17/03/2022","$1,750.00",479,1750.0,"2022-03-17"
"Mallorie Waber","Australia","Spicy Special Slims","29/06/2022","$5,439.00",287,5439.0,"2022-06-29"
"Ches Bonnell","Canada","Choco Coated Almonds","24/08/2022","$15,547.00",269,15547.0,"2022-08-24"
"Gigi Bohling","Canada","Spicy Special Slims","04/07/2022","$11,956.00",277,11956.0,"2022-07-04"
"Roddy Speechley","New Zealand","Almond Choco","28/03/2022","$2,723.00",67,2723.0,"2022-03-28"
"Curtice Advani","India","Smooth Sliky Salty","19/04/2022","$19,327.00",135,19327.0,"2022-04-19"
"Ches Bonnell","New Zealand","Mint Chip Choco","18/01/2022","$9,058.00",229,9058.0,"2022-01-18"
"Van Tuxwell","New Zealand","Fruit & Nut Bars","17/01/2022","$2,996.00",88,2996.0,"2022-01-17"
"Andria Kimpton","New Zealand","Mint Chip Choco","15/02/2022","$8,848.00",211,8848.0,"2022-02-15"
"Andria Kimpton","UK","Milk Bars","11/02/2022","$14,336.00",293,14336.0,"2022-02-11"
"Camilla Castle","USA","Manuka Honey Choco","21/03/2022","$16,401.00",179,16401.0,"2022-03-21"
"Gunar Cockshoot","New Zealand","Almond Choco","05/01/2022","$5,173.00",129,5173.0,"2022-01-05"
"Brien Boise","India","Raspberry Choco","30/05/2022","$6,328.00",164,6328.0,"2022-05-30"
"Jehu Rudeforth","USA","99% Dark & Pure","04/01/2022","$2,534.00",219,2534.0,"2022-01-04"
"Beverie Moffet","Australia","Fruit & Nut Bars","22/04/2022","$1,435.00",258,1435.0,"2022-04-22"
"Gigi Bohling","Canada","Milk Bars","10/02/2022","$3,052.00",116,3052.0,"2022-02-10"
"Dotty Strutley","India","Spicy Special Slims","12/08/2022","$910.00",204,910.0,"2022-08-12"
"Gunar Cockshoot","USA","Organic Choco Syrup","10/08/2022","$2,331.00",321,2331.0,"2022-08-10"
"Kelci Walkden","Australia","Raspberry Choco","07/06/2022","$679.00",56,679.0,"2022-06-07"
"Jehu Rudeforth","India","Baker's Choco Chips","06/06/2022","$2,086.00",74,2086.0,"2022-06-06"
"Karlen McCaffrey","New Zealand","Baker's Choco Chips","05/04/2022","$5,012.00",189,5012.0,"2022-04-05"
"Wilone O'Kielt","USA","50% Dark Bites","18/04/2022","$4,501.00",131,4501.0,"2022-04-18"
"Andria Kimpton","India","50% Dark Bites","31/01/2022","$13,482.00",15,13482.0,"2022-01-31"
"Madelene Upcott","USA","Baker's Choco Chips","22/08/2022","$5,621.00",140,5621.0,"2022-08-22"
"Jehu Rudeforth","Australia","99% Dark & Pure","25/02/2022","$10,486.00",198,10486.0,"2022-02-25"
"Jan Morforth","Australia","Mint Chip Choco","22/02/2022","$17,626.00",103,17626.0,"2022-02-22"
"Oby Sorrel","New Zealand","Milk Bars","12/01/2022","$4,494.00",187,4494.0,"2022-01-12"
"Brien Boise","UK","Almond Choco","25/05/2022","$105.00",125,105.0,"2022-05-25"
"Kelci Walkden","India","Smooth Sliky Salty","01/02/2022","$2,464.00",8,2464.0,"2022-02-01"
"Rafaelita Blaksland","UK","Eclairs","27/04/2022","$1,379.00",70,1379.0,"2022-04-27"
"Gigi Bohling","USA","Smooth Sliky Salty","22/07/2022","$2,583.00",126,2583.0,"2022-07-22"
"Curtice Advani","New Zealand","Mint Chip Choco","26/01/2022","$3,220.00",265,3220.0,"2022-01-26"
"Curtice Advani","USA","Mint Chip Choco","24/08/2022","$4,802.00",296,4802.0,"2022-08-24"
"Madelene Upcott","New Zealand","Fruit & Nut Bars","18/01/2022","$5,677.00",21,5677.0,"2022-01-18"
"Karlen McCaffrey","India","85% Dark Bars","30/03/2022","$945.00",83,945.0,"2022-03-30"
"Ches Bonnell","Australia","Caramel Stuffed Bars","17/01/2022","$8,757.00",162,8757.0,"2022-01-17"
"Kelci Walkden","USA","Fruit & Nut Bars","17/02/2022","$4,816.00",145,4816.0,"2022-02-17"
"Kelci Walkden","Canada","Peanut Butter Cubes","08/04/2022","$7,532.00",44,7532.0,"2022-04-08"
"Gigi Bohling","Canada","Drinking Coco","06/07/2022","$3,549.00",82,3549.0,"2022-07-06"
"Husein Augar","India","Fruit & Nut Bars","04/04/2022","$4,340.00",226,4340.0,"2022-04-04"
"Jan Morforth","New Zealand","Organic Choco Syrup","02/03/2022","$1,799.00",207,1799.0,"2022-03-02"
"Gigi Bohling","New Zealand","Raspberry Choco","09/08/2022","$1,127.00",176,1127.0,"2022-08-09"
"Dennison Crosswaite","Australia","Milk Bars","09/06/2022","$10,038.00",286,10038.0,"2022-06-09"
"Ches Bonnell","UK","Caramel Stuffed Bars","02/06/2022","$2,926.00",300,2926.0,"2022-06-02"
"Van Tuxwell","USA","Fruit & Nut Bars","05/07/2022","$6,279.00",235,6279.0,"2022-07-05"
"Andria Kimpton","Canada","Eclairs","11/08/2022","$308.00",125,308.0,"2022-08-11"
"Madelene Upcott","India","Choco Coated Almonds","11/02/2022","$3,500.00",145,3500.0,"2022-02-11"
"Kelci Walkden","New Zealand","Spicy Special Slims","11/08/2022","$658.00",65,658.0,"2022-08-11"
"Roddy Speechley","Australia","Drinking Coco","12/05/2022","$12,565.00",102,12565.0,"2022-05-12"
"Wilone O'Kielt","USA","Milk Bars","15/07/2022","$5,012.00",93,5012.0,"2022-07-15"
"Andria Kimpton","India","Organic Choco Syrup","18/01/2022","$3,955.00",134,3955.0,"2022-01-18"
"Madelene Upcott","UK","Fruit & Nut Bars","05/01/2022","$8,512.00",189,8512.0,"2022-01-05"
"Curtice Advani","Australia","50% Dark Bites","29/06/2022","$504.00",232,504.0,"2022-06-29"
"Brien Boise","Canada","Raspberry Choco","14/06/2022","$2,800.00",45,2800.0,"2022-06-14"
"Gunar Cockshoot","India","Mint Chip Choco","08/08/2022","$4,256.00",67,4256.0,"2022-08-08"
"Dennison Crosswaite","India","Mint Chip Choco","23/03/2022","$13,573.00",138,13573.0,"2022-03-23"
"Barr Faughny","India","Caramel Stuffed Bars","04/01/2022","$6,566.00",99,6566.0,"2022-01-04"
"Brien Boise","India","Milk Bars","22/02/2022","$13,503.00",251,13503.0,"2022-02-22"
"Beverie Moffet","UK","Spicy Special Slims","17/02/2022","$8,680.00",252,8680.0,"2022-02-17"
"Barr Faughny","USA","Almond Choco","03/02/2022","$385.00",78,385.0,"2022-02-03"
"Van Tuxwell","Canada","Raspberry Choco","17/03/2022","$1,267.00",130,1267.0,"2022-03-17"
"Wilone O'Kielt","Australia","Baker's Choco Chips","25/01/2022","$2,961.00",154,2961.0,"2022-01-25"
"Brien Boise","Australia","Milk Bars","27/07/2022","$1,981.00",52,1981.0,"2022-07-27"
"Husein Augar","Australia","Fruit & Nut Bars","28/01/2022","$7,959.00",53,7959.0,"2022-01-28"
"Madelene Upcott","Australia","Organic Choco Syrup","05/07/2022","$10,794.00",50,10794.0,"2022-07-05"
"Van Tuxwell","India","White Choc","15/03/2022","$1,897.00",44,1897.0,"2022-03-15"
"Gunar Cockshoot","Canada","After Nines","04/08/2022","$2,744.00",200,2744.0,"2022-08-04"
"Jan Morforth","USA","Fruit & Nut Bars","27/06/2022","$4,382.00",361,4382.0,"2022-06-27"
"Jan Morforth","Canada","After Nines","13/07/2022","$4,515.00",172,4515.0,"2022-07-13"
"Barr Faughny","New Zealand","Manuka Honey Choco","24/02/2022","$5,474.00",239,5474.0,"2022-02-24"
"Karlen McCaffrey","New Zealand","85% Dark Bars","28/06/2022","$6,069.00",55,6069.0,"2022-06-28"
"Oby Sorrel","Australia","85% Dark Bars","30/06/2022","$6,944.00",27,6944.0,"2022-06-30"
"Curtice Advani","Canada","Choco Coated Almonds","18/08/2022","$5,859.00",7,5859.0,"2022-08-18"
"Kaine Padly","India","70% Dark Bites","24/01/2022","$12,173.00",301,12173.0,"2022-01-24"
"Beverie Moffet","USA","White Choc","11/03/2022","$5,292.00",134,5292.0,"2022-03-11"
"Ches Bonnell","New Zealand","After Nines","23/06/2022","$5,705.00",350,5705.0,"2022-06-23"
"Husein Augar","India","Spicy Special Slims","22/08/2022","$2,492.00",33,2492.0,"2022-08-22"
"Gunar Cockshoot","Canada","50% Dark Bites","04/01/2022","$3,024.00",23,3024.0,"2022-01-04"
"Curtice Advani","India","Milk Bars","05/04/2022","$3,437.00",201,3437.0,"2022-04-05"
"Beverie Moffet","India","Milk Bars","15/04/2022","$1,869.00",323,1869.0,"2022-04-15"
"Husein Augar","Australia","White Choc","11/05/2022","$3,171.00",220,3171.0,"2022-05-11"
"Andria Kimpton","Canada","Manuka Honey Choco","21/07/2022","$4,858.00",488,4858.0,"2022-07-21"
"Jan Morforth","New Zealand","Orange Choco","11/02/2022","$1,225.00",84,1225.0,"2022-02-11"
"Andria Kimpton","Canada","Smooth Sliky Salty","08/07/2022","$1,155.00",79,1155.0,"2022-07-08"
"Gunar Cockshoot","UK","Raspberry Choco","11/08/2022","$6,811.00",344,6811.0,"2022-08-11"
"Husein Augar","New Zealand","After Nines","04/08/2022","$6,433.00",7,6433.0,"2022-08-04"
"Andria Kimpton","New Zealand","Orange Choco","14/06/2022","$8,169.00",88,8169.0,"2022-06-14"
"Dennison Crosswaite","UK","Baker's Choco Chips","17/01/2022","$2,275.00",275,2275.0,"2022-01-17"
"Jehu Rudeforth","Canada","Orange Choco","23/06/2022","$3,857.00",512,3857.0,"2022-06-23"
"Jehu Rudeforth","UK","Smooth Sliky Salty","24/08/2022","$1,463.00",113,1463.0,"2022-08-24"
"Andria Kimpton","UK","Caramel Stuffed Bars","07/06/2022","$7,924.00",275,7924.0,"2022-06-07"
"Jan Morforth","UK","White Choc","22/06/2022","$8,799.00",47,8799.0,"2022-06-22"
"Dotty Strutley","USA","Fruit & Nut Bars","13/07/2022","$2,898.00",276,2898.0,"2022-07-13"
"Kelci Walkden","UK","Choco Coated Almonds","24/05/2022","$9,506.00",212,9506.0,"2022-05-24"
"Gunar Cockshoot","New Zealand","After Nines","09/08/2022","$7,175.00",145,7175.0,"2022-08-09"
"Kaine Padly","Canada","85% Dark Bars","06/04/2022","$1,729.00",31,1729.0,"2022-04-06"
"Jan Morforth","New Zealand","Manuka Honey Choco","28/07/2022","$1,589.00",271,1589.0,"2022-07-28"
"Gunar Cockshoot","New Zealand","Raspberry Choco","24/08/2022","$630.00",52,630.0,"2022-08-24"
"Van Tuxwell","Australia","99% Dark & Pure","17/01/2022","$112.00",128,112.0,"2022-01-17"
"Curtice Advani","USA","Drinking Coco","07/02/2022","$5,187.00",142,5187.0,"2022-02-07"
"Brien Boise","Australia","Spicy Special Slims","09/05/2022","$6,223.00",256,6223.0,"2022-05-09"
"Mallorie Waber","New Zealand","85% Dark Bars","06/06/2022","$7,714.00",106,7714.0,"2022-06-06"
"Wilone O'Kielt","USA","Choco Coated Almonds","06/06/2022","$9,457.00",6,9457.0,"2022-06-06"
"Beverie Moffet","New Zealand","Organic Choco Syrup","24/05/2022","$6,678.00",226,6678.0,"2022-05-24"
"Gunar Cockshoot","UK","50% Dark Bites","13/01/2022","$2,107.00",121,2107.0,"2022-01-13"
"Marney O'Breen","USA","Raspberry Choco","23/05/2022","$6,069.00",151,6069.0,"2022-05-23"
"Jehu Rudeforth","UK","White Choc","29/06/2022","$1,862.00",284,1862.0,"2022-06-29"
"Jehu Rudeforth","New Zealand","85% Dark Bars","11/03/2022","$6,972.00",89,6972.0,"2022-03-11"
"Dotty Strutley","USA","85% Dark Bars","25/04/2022","$10,220.00",508,10220.0,"2022-04-25"
"Rafaelita Blaksland","Australia","Smooth Sliky Salty","30/05/2022","$3,969.00",243,3969.0,"2022-05-30"
"Curtice Advani","India","Manuka Honey Choco","23/05/2022","$1,547.00",170,1547.0,"2022-05-23"
"Mallorie Waber","USA","Peanut Butter Cubes","23/05/2022","$1,162.00",18,1162.0,"2022-05-23"
"Van Tuxwell","Canada","Peanut Butter Cubes","24/06/2022","$6,342.00",282,6342.0,"2022-06-24"
"Kelci Walkden","New Zealand","Smooth Sliky Salty","11/03/2022","$10,633.00",277,10633.0,"2022-03-11"
"Rafaelita Blaksland","USA","Smooth Sliky Salty","27/07/2022","$15,057.00",212,15057.0,"2022-07-27"
"Rafaelita Blaksland","USA","White Choc","16/08/2022","$4,704.00",126,4704.0,"2022-08-16"
"Roddy Speechley","Canada","Smooth Sliky Salty","07/03/2022","$9,338.00",11,9338.0,"2022-03-07"
"Curtice Advani","New Zealand","After Nines","05/04/2022","$7,959.00",30,7959.0,"2022-04-05"
"Camilla Castle","India","85% Dark Bars","04/05/2022","$9,023.00",51,9023.0,"2022-05-04"
"Ches Bonnell","USA","Choco Coated Almonds","04/01/2022","$14,525.00",92,14525.0,"2022-01-04"
"Marney O'Breen","Australia","Baker's Choco Chips","13/01/2022","$5,810.00",101,5810.0,"2022-01-13"
"Wilone O'Kielt","New Zealand","Fruit & Nut Bars","11/07/2022","$6,426.00",98,6426.0,"2022-07-11"
"Kaine Padly","Australia","Mint Chip Choco","17/05/2022","$4,403.00",159,4403.0,"2022-05-17"
"Camilla Castle","New Zealand","Peanut Butter Cubes","21/07/2022","$1,582.00",62,1582.0,"2022-07-21"
"Curtice Advani","Canada","Organic Choco Syrup","22/02/2022","$791.00",22,791.0,"2022-02-22"
"Jan Morforth","India","99% Dark & Pure","23/05/2022","$9,100.00",187,9100.0,"2022-05-23"
"Rafaelita Blaksland","Canada","Drinking Coco","12/07/2022","$9,884.00",200,9884.0,"2022-07-12"
"Jan Morforth","UK","Orange Choco","15/06/2022","$3,780.00",201,3780.0,"2022-06-15"
"Barr Faughny","New Zealand","50% Dark Bites","23/06/2022","$4,557.00",308,4557.0,"2022-06-23"
"Curtice Advani","Australia","Eclairs","25/03/2022","$5,796.00",55,5796.0,"2022-03-25"
"Jan Morforth","India","Caramel Stuffed Bars","04/07/2022","$84.00",153,84.0,"2022-07-04"
"Andria Kimpton","UK","White Choc","12/05/2022","$9,037.00",101,9037.0,"2022-05-12"
"Camilla Castle","New Zealand","Raspberry Choco","04/04/2022","$4,746.00",137,4746.0,"2022-04-04"
"Madelene Upcott","Australia","Orange Choco","15/04/2022","$6,713.00",398,6713.0,"2022-04-15"
"Roddy Speechley","Canada","Eclairs","08/03/2022","$6,237.00",88,6237.0,"2022-03-08"
"Karlen McCaffrey","India","White Choc","17/01/2022","$7,483.00",232,7483.0,"2022-01-17"
"Wilone O'Kielt","India","Mint Chip Choco","22/08/2022","$1,309.00",51,1309.0,"2022-08-22"
"Andria Kimpton","UK","99% Dark & Pure","25/07/2022","$1,155.00",66,1155.0,"2022-07-25"
"Marney O'Breen","UK","50% Dark Bites","14/06/2022","$2,989.00",124,2989.0,"2022-06-14"
"Ches Bonnell","India","Choco Coated Almonds","05/04/2022","$9,625.00",78,9625.0,"2022-04-05"
"Madelene Upcott","UK","Raspberry Choco","26/08/2022","$7,357.00",341,7357.0,"2022-08-26"
"Wilone O'Kielt","Australia","50% Dark Bites","03/08/2022","$10,031.00",114,10031.0,"2022-08-03"
"Gigi Bohling","Canada","White Choc","11/07/2022","$6,587.00",4,6587.0,"2022-07-11"
"Wilone O'Kielt","New Zealand","Eclairs","11/03/2022","$3,311.00",22,3311.0,"2022-03-11"
"Brien Boise","UK","Peanut Butter Cubes","10/01/2022","$15,330.00",30,15330.0,"2022-01-10"
"Roddy Speechley","UK","Baker's Choco Chips","04/04/2022","$14,028.00",351,14028.0,"2022-04-04"
"Karlen McCaffrey","Australia","50% Dark Bites","17/01/2022","$6,678.00",708,6678.0,"2022-01-17"
"Marney O'Breen","New Zealand","Organic Choco Syrup","08/07/2022","$8,624.00",50,8624.0,"2022-07-08"
"Jan Morforth","UK","Organic Choco Syrup","12/04/2022","$1,197.00",356,1197.0,"2022-04-12"
"Rafaelita Blaksland","Canada","Fruit & Nut Bars","24/08/2022","$483.00",185,483.0,"2022-08-24"
"Ches Bonnell","UK","Choco Coated Almonds","07/06/2022","$1,687.00",236,1687.0,"2022-06-07"
"Gunar Cockshoot","Canada","Almond Choco","28/07/2022","$1,309.00",30,1309.0,"2022-07-28"
"Husein Augar","USA","99% Dark & Pure","21/02/2022","$9,534.00",111,9534.0,"2022-02-21"
"Dennison Crosswaite","Canada","Mint Chip Choco","08/04/2022","$1,694.00",289,1694.0,"2022-04-08"
"Brien Boise","UK","Manuka Honey Choco","28/06/2022","$70.00",103,70.0,"2022-06-28"
"Van Tuxwell","UK","Baker's Choco Chips","24/03/2022","$2,443.00",20,2443.0,"2022-03-24"
"Barr Faughny","Australia","Caramel Stuffed Bars","29/07/2022","$2,933.00",55,2933.0,"2022-07-29"
"Dennison Crosswaite","USA","Eclairs","25/05/2022","$2,044.00",90,2044.0,"2022-05-25"
"Gigi Bohling","Australia","Raspberry Choco","30/03/2022","$6,524.00",303,6524.0,"2022-03-30"
"Dennison Crosswaite","USA","Organic Choco Syrup","18/07/2022","$12,656.00",126,12656.0,"2022-07-18"
"Beverie Moffet","Canada","Orange Choco","10/05/2022","$8,722.00",109,8722.0,"2022-05-10"
"Mallorie Waber","Australia","Choco Coated Almonds","18/03/2022","$15,750.00",92,15750.0,"2022-03-18"
"Ches Bonnell","India","Caramel Stuffed Bars","15/06/2022","$6,839.00",56,6839.0,"2022-06-15"
"Van Tuxwell","Canada","50% Dark Bites","12/05/2022","$13,685.00",58,13685.0,"2022-05-12"
"Kelci Walkden","New Zealand","Baker's Choco Chips","23/06/2022","$2,912.00",110,2912.0,"2022-06-23"
"Beverie Moffet","India","Spicy Special Slims","21/04/2022","$3,339.00",171,3339.0,"2022-04-21"
"Gigi Bohling","Australia","Almond Choco","17/08/2022","$910.00",117,910.0,"2022-08-17"
"Rafaelita Blaksland","New Zealand","Eclairs","07/02/2022","$19,481.00",51,19481.0,"2022-02-07"
"Kelci Walkden","Canada","Smooth Sliky Salty","17/03/2022","$8,099.00",118,8099.0,"2022-03-17"
"Jan Morforth","India","Baker's Choco Chips","01/08/2022","$13,727.00",79,13727.0,"2022-08-01"
"Jehu Rudeforth","Australia","Milk Bars","18/03/2022","$8,659.00",29,8659.0,"2022-03-18"
"Gigi Bohling","Canada","Fruit & Nut Bars","14/06/2022","$5,782.00",103,5782.0,"2022-06-14"
"Beverie Moffet","UK","Eclairs","22/04/2022","$8,463.00",155,8463.0,"2022-04-22"
"Marney O'Breen","New Zealand","Eclairs","18/01/2022","$4,914.00",31,4914.0,"2022-01-18"
"Husein Augar","Australia","99% Dark & Pure","26/08/2022","$3,087.00",128,3087.0,"2022-08-26"
"Gunar Cockshoot","New Zealand","Fruit & Nut Bars","10/06/2022","$9,205.00",419,9205.0,"2022-06-10"
"Curtice Advani","Canada","70% Dark Bites","31/01/2022","$2,303.00",7,2303.0,"2022-01-31"
"Kelci Walkden","New Zealand","Manuka Honey Choco","08/04/2022","$1,358.00",106,1358.0,"2022-04-08"
"Dotty Strutley","Australia","Baker's Choco Chips","07/06/2022","$3,605.00",68,3605.0,"2022-06-07"
"Barr Faughny","Australia","85% Dark Bars","10/02/2022","$8,498.00",44,8498.0,"2022-02-10"
"Beverie Moffet","Australia","50% Dark Bites","16/05/2022","$700.00",457,700.0,"2022-05-16"
"Gunar Cockshoot","India","Baker's Choco Chips","18/03/2022","$2,191.00",524,2191.0,"2022-03-18"
"Van Tuxwell","Australia","50% Dark Bites","13/07/2022","$644.00",137,644.0,"2022-07-13"
"Oby Sorrel","USA","Manuka Honey Choco","25/07/2022","$4,340.00",86,4340.0,"2022-07-25"
"Van Tuxwell","Canada","Choco Coated Almonds","19/08/2022","$2,282.00",296,2282.0,"2022-08-19"
"Karlen McCaffrey","Canada","70% Dark Bites","24/06/2022","$7,714.00",597,7714.0,"2022-06-24"
"Kelci Walkden","Canada","Fruit & Nut Bars","20/06/2022","$826.00",149,826.0,"2022-06-20"
"Camilla Castle","India","99% Dark & Pure","02/08/2022","$203.00",207,203.0,"2022-08-02"
"Madelene Upcott","New Zealand","70% Dark Bites","22/02/2022","$13,356.00",93,13356.0,"2022-02-22"
"Mallorie Waber","New Zealand","Orange Choco","01/02/2022","$6,510.00",23,6510.0,"2022-02-01"
"Jan Morforth","Canada","70% Dark Bites","14/02/2022","$5,894.00",305,5894.0,"2022-02-14"
"Kelci Walkden","Australia","Milk Bars","24/02/2022","$7,910.00",125,7910.0,"2022-02-24"
"Dennison Crosswaite","India","Orange Choco","18/03/2022","$784.00",129,784.0,"2022-03-18"
"Husein Augar","UK","Eclairs","30/08/2022","$1,750.00",252,1750.0,"2022-08-30"
"Gigi Bohling","USA","Peanut Butter Cubes","09/05/2022","$280.00",75,280.0,"2022-05-09"
"Wilone O'Kielt","USA","Smooth Sliky Salty","18/01/2022","$504.00",87,504.0,"2022-01-18"
"Curtice Advani","India","White Choc","04/07/2022","$7,154.00",342,7154.0,"2022-07-04"
"Oby Sorrel","New Zealand","Spicy Special Slims","03/06/2022","$1,617.00",13,1617.0,"2022-06-03"
"Beverie Moffet","New Zealand","Peanut Butter Cubes","23/02/2022","$10,822.00",30,10822.0,"2022-02-23"
"Dotty Strutley","New Zealand","99% Dark & Pure","09/05/2022","$10,724.00",203,10724.0,"2022-05-09"
"Kelci Walkden","India","70% Dark Bites","06/06/2022","$3,640.00",106,3640.0,"2022-06-06"
"Kelci Walkden","India","Drinking Coco","04/07/2022","$7,532.00",234,7532.0,"2022-07-04"
"Brien Boise","New Zealand","Drinking Coco","06/06/2022","$1,582.00",100,1582.0,"2022-06-06"
"Dotty Strutley","Australia","Almond Choco","13/05/2022","$1,456.00",91,1456.0,"2022-05-13"
"Wilone O'Kielt","New Zealand","Organic Choco Syrup","31/01/2022","$2,016.00",277,2016.0,"2022-01-31"
"Ches Bonnell","New Zealand","Caramel Stuffed Bars","30/06/2022","$7,588.00",42,7588.0,"2022-06-30"
"Barr Faughny","Canada","Manuka Honey Choco","25/08/2022","$3,402.00",249,3402.0,"2022-08-25"
"Gigi Bohling","New Zealand","Smooth Sliky Salty","10/01/2022","$700.00",97,700.0,"2022-01-10"
"Brien Boise","USA","Manuka Honey Choco","22/08/2022","$1,904.00",8,1904.0,"2022-08-22"
"Roddy Speechley","New Zealand","85% Dark Bars","14/04/2022","$4,844.00",275,4844.0,"2022-04-14"
